Taxa	TaxId	Rank	Comment
Actinomyces naeslundii	1655	species	skin bacteria with mean abundance 0.047 with frequency 0.995 in IHSMGC
Actinomyces oris	544580	species	skin bacteria with mean abundance 0.046 with frequency 0.995 in IHSMGC
Streptococcus salivarius	1304	species	skin bacteria with mean abundance 0.045 with frequency 0.999 in IHSMGC
Malassezia sympodialis	76777	species	skin bacteria with mean abundance 0.042 with frequency 0.993 in IHSMGC
Comamonas aquatica	225991	species	skin bacteria with mean abundance 0.042 with frequency 0.95 in IHSMGC
Lawsonella clevelandensis	1528099	species	skin bacteria with mean abundance 0.041 with frequency 0.998 in IHSMGC
Corynebacterium imitans	156978	species	skin bacteria with mean abundance 0.041 with frequency 0.994 in IHSMGC
Gordonia bronchialis	2054	species	skin bacteria with mean abundance 0.041 with frequency 0.974 in IHSMGC
Xanthomonas campestris	339	species	skin bacteria with mean abundance 0.041 with frequency 0.956 in IHSMGC
Corynebacterium riegelii	156976	species	skin bacteria with mean abundance 0.041 with frequency 0.988 in IHSMGC
Corynebacterium sp. ATCC 6931	1487956	species	skin bacteria with mean abundance 0.04 with frequency 0.993 in IHSMGC
Malassezia restricta	76775	species	skin bacteria with mean abundance 0.037 with frequency 0.964 in IHSMGC
Propionibacterium virus PHL132N00	1982291	species	skin bacteria with mean abundance 0.037 with frequency 0.849 in IHSMGC
Streptococcus thermophilus	1308	species	skin bacteria with mean abundance 0.036 with frequency 0.993 in IHSMGC
Streptococcus parasanguinis	1318	species	skin bacteria with mean abundance 0.033 with frequency 0.992 in IHSMGC
Pseudomonas oleovorans	301	species	skin bacteria with mean abundance 0.032 with frequency 0.976 in IHSMGC
Kocuria palustris	71999	species	skin bacteria with mean abundance 0.032 with frequency 0.989 in IHSMGC
Rothia aeria	172042	species	skin bacteria with mean abundance 0.032 with frequency 0.987 in IHSMGC
Deinococcus radiodurans	1299	species	skin bacteria with mean abundance 0.03 with frequency 0.94 in IHSMGC
Paracoccus yeei	147645	species	skin bacteria with mean abundance 0.03 with frequency 0.978 in IHSMGC
Porcine type-C oncovirus	369960	species	skin bacteria with mean abundance 0.03 with frequency 0.749 in IHSMGC
Brevundimonas sp. GW460-12-10-14-LB2	1827469	species	skin bacteria with mean abundance 0.029 with frequency 0.983 in IHSMGC
Corynebacterium urealyticum	43771	species	skin bacteria with mean abundance 0.029 with frequency 0.994 in IHSMGC
Pannonibacter phragmitetus	121719	species	skin bacteria with mean abundance 0.028 with frequency 0.849 in IHSMGC
Acinetobacter schindleri	108981	species	skin bacteria with mean abundance 0.028 with frequency 0.97 in IHSMGC
Pseudomonas fragi	296	species	skin bacteria with mean abundance 0.027 with frequency 0.983 in IHSMGC
Acinetobacter haemolyticus	29430	species	skin bacteria with mean abundance 0.027 with frequency 0.951 in IHSMGC
Pseudomonas alcaligenes	43263	species	skin bacteria with mean abundance 0.027 with frequency 0.977 in IHSMGC
Streptococcus sp. oral taxon 064	712624	species	skin bacteria with mean abundance 0.026 with frequency 0.987 in IHSMGC
Pseudomonas azotoformans	47878	species	skin bacteria with mean abundance 0.026 with frequency 0.934 in IHSMGC
Streptococcus mutans	1309	species	skin bacteria with mean abundance 0.025 with frequency 0.87 in IHSMGC
Corynebacterium variabile	1727	species	skin bacteria with mean abundance 0.024 with frequency 0.995 in IHSMGC
Staphylococcus saprophyticus	29385	species	skin bacteria with mean abundance 0.024 with frequency 0.992 in IHSMGC
Streptococcus sp. oral taxon 431	712633	species	skin bacteria with mean abundance 0.023 with frequency 0.982 in IHSMGC
Corynebacterium sp. NML98-0116	702967	species	skin bacteria with mean abundance 0.023 with frequency 0.987 in IHSMGC
Prevotella melaninogenica	28132	species	skin bacteria with mean abundance 0.023 with frequency 0.985 in IHSMGC
uncultured virus	340016	species	skin bacteria with mean abundance 0.022 with frequency 0.901 in IHSMGC
Cutibacterium acnes	1747	species	reported in 4/18 studies as contamination species collected by article: Contamination detection and microbiome exploration with GRIMER
Pseudomonas contamination fluorescens	294	species	reported in 4/18 studies as contamination species collected by article: Contamination detection and microbiome exploration with GRIMER
Stenotrophomonas contamination maltophilia	40324	species	reported in 4/18 studies as contamination species collected by article: Contamination detection and microbiome exploration with GRIMER
Acinetobacter baumannii	470	species	reported in 3/18 studies as contamination species collected by article: Contamination detection and microbiome exploration with GRIMER
Bradyrhizobium elkanii	29448	species	reported in 3/18 studies as contamination species collected by article: Contamination detection and microbiome exploration with GRIMER
Corynebacterium tuberculostearicum	38304	species	reported in 3/18 studies as contamination species collected by article: Contamination detection and microbiome exploration with GRIMER
Rhodococcus fascians	1828	species	reported in 3/18 studies as contamination species collected by article: Contamination detection and microbiome exploration with GRIMER
Streptococcus mitis	28037	species	reported in 3/18 studies as contamination species collected by article: Contamination detection and microbiome exploration with GRIMER
Pseudomonas	286	genus	reported in 13/18 studies as contamination genus collected by article: Contamination detection and microbiome exploration with GRIMER
Stenotrophomonas	40323	genus	reported in 13/18 studies as contamination genus collected by article: Contamination detection and microbiome exploration with GRIMER
Ralstonia	48736	genus	reported in 12/18 studies as contamination genus collected by article: Contamination detection and microbiome exploration with GRIMER
Bradyrhizobium	374	genus	reported in 11/18 studies as contamination genus collected by article: Contamination detection and microbiome exploration with GRIMER
Methylobacterium	407	genus	reported in 11/18 studies as contamination genus collected by article: Contamination detection and microbiome exploration with GRIMER
Acinetobacter	469	genus	reported in 10/18 studies as contamination genus collected by article: Contamination detection and microbiome exploration with GRIMER
Corynebacterium	1716	genus	reported in 10/18 studies as contamination genus collected by article: Contamination detection and microbiome exploration with GRIMER
Sphingomonas	13687	genus	reported in 10/18 studies as contamination genus collected by article: Contamination detection and microbiome exploration with GRIMER
Toxoplasma gondii	5811	species	reference genome sequence contamination from human
