sample_id	r1_pass	r1_warn	r1_fail	r1_read_count	r1_avg_quality	r2_pass	r2_warn	r2_fail	r2_read_count	r2_avg_quality
DRR099973	7	0	4	91795	35.9	7	0	4	91795	35.4
DRR099974	7	0	4	90723	35.7	7	0	4	90723	35.7
DRR099976	7	0	4	82174	35.8	7	0	4	82174	35.0
DRR099975	7	0	4	107329	35.9	7	0	4	107329	35.5
DRR099977	7	0	4	99093	36.0	6	1	4	99093	35.5
DRR099978	7	0	4	117186	35.9	7	0	4	117186	35.5
DRR099980	7	0	4	90527	35.8	7	0	4	90527	35.6
DRR099979	7	0	4	99911	36.0	7	0	4	99911	35.7
