sample_id	checksum1	checksum2
MGB-01	ad0c526823c70b5ad1c7c0dc150cbce4	4a280d9f9bd29622055cdf778f6aad67
MGB-02	7bd36e4429524093b980c90ea7f3fc26	d93de56b3da3d0afba44c639bc2e25d6
MGB-04	cca1086517bd206e8b2f2cd93cabf997	ed69bf76113a90c3a30a7eb4c6ec18b0
MGB-03	213e4d5e0fe792008acaa1372ecff93a	570d628b2704ef2b61165d5bf4de0cec
MGB-06	b2e00d8d2526545765966bdfccca64af	20a05817e94e2a2f96bfd184796c2d04
MGB-05	a6db63ae65c8e28619acbe98d94eacc6	c4f7f96e033d70f2fcadde83daec7f5a
MGB-08	91527786815d17d5486b2289aac63389	b4e0fa748c8befdfc9dca2322c73495c
MGB-07	589fe5ca3a652e576767bfb23c719c7e	6a6de694afc521f28cec2cd1421b90f2
